DW_TEMPO;invoice_date;Ano;Mes;Dia
8230f3bd3cf3cc4514f6c1df267dbd349b1b05b22baa767a5e1b0928d3dd2645;2017-02-17;2017;2;17
0a6cdd9613db848e9aa86b802f19f3d0f0ff642cba81f10f3c9a12f36979e5e4;2017-12-29;2017;12;29
9aad28d0eb997b3eb9bffb47e828722c7417a491ab937aa6b2b3a63528eb5849;2017-12-13;2017;12;13
aae5ca79ba17bf9d7707fd0872f9b22aed82a8b504eb9e7733fece58ed02d032;2017-12-17;2017;12;17
64fb523aa2a0a03d0e9b530e950ac6b67382a40e5b80db160cdaf4e941e0a621;2017-10-14;2017;10;14
95e8d726379a73417fdd7086ce40008cb4ed79d88bc3b2421cc0298a2296bd1d;2018-11-10;2018;11;10
2904c1e5e248440fe1402121c2bdd0aff24fe6c133b3af84cf4a5b5d78a5bfe4;2017-06-16;2017;6;16
0c0f1fca641718b4abcabddc33624683541e4e3d5f5e71ba9e958e67f39f0650;2017-09-03;2017;9;3
cde8462037fd787f486c1d2cf77d67f92720d68a8174c1bbef5b393a4daae0da;2017-12-16;2017;12;16
153b43a7481d87ade62a411bae347e19b2f310043a22bad3977155a69bfc2877;2017-07-07;2017;7;7
29b639b5c9a9e16feb8c70beae9c629a9addeaa576214783413e7a92b565d204;2019-01-01;2019;1;1
357986e948a47b6c0ddc506bd8c6a7a3a5d540385d1f6242a6893836d07d84a2;2019-01-06;2019;1;6
06a00a77dd17abefe897ee3e8bc1d8ff67e7a528cdd8651957301fdc66b7516a;2018-09-11;2018;9;11
631654ddc9fd56dae6003eb99075abf13586565339d6638a4b03ef4127ca112f;2019-02-26;2019;2;26
1bc8695a52d136fdb2654c1c8754f3a62155c0f57609e6f3ca0dfcc7bca5936b;2017-01-25;2017;1;25
d97d9944aab0fe85b8f7016a0812b0e5ef3f44311a13a315ed8e62400ee4b0d5;2017-03-31;2017;3;31
f1013b6dc2d4956746ff30c6b26a52842a89b0ec6067a237af784e89daf20005;2018-11-05;2018;11;5
1f236306200f923fc3ab3648f57f7c794d7020150554c6987c389ba31a1877ad;2017-10-07;2017;10;7
f2051b534b9ac866d40110fe50ec886e030c9a2aedd690393d62cfefc1cdc3bd;2018-06-04;2018;6;4
9c8a9c8a0824ff3b2327dac5b14cd52ecdc6d8dbba50cda7edaebca3580d4d1a;2019-01-27;2019;1;27
f1a9f5abd92c9d19cc69fc043d6ff743053ce3208f89211b599e4d697924d54a;2017-09-14;2017;9;14
9d0885c5de41d96f00447f317df6a6d6e24f28bb05425c19f61d3fe56a6106a0;2018-07-28;2018;7;28
